Kanton,Mit EGID,Ohne EGID,Total,% Mit EGID
GE,5798,0,5798,100.0
BS,235,0,235,100.0
BL,1520,17,1537,98.9
GL,240,7,247,97.2
BE,3836,275,4111,93.3
ZH,5662,955,6617,85.6
SZ,1214,206,1420,85.5
AG,4713,1050,5763,81.8
TI,1984,709,2693,73.7
ZG,561,225,786,71.4
SG,3144,1482,4626,68.0
TG,1683,849,2532,66.5
SO,676,348,1024,66.0
FR,2857,1589,4446,64.3
GR,1625,946,2571,63.2
UR,134,119,253,53.0
VS,305,341,646,47.2
AI,197,289,486,40.5
AR,312,508,820,38.0
SH,241,396,637,37.8
