egid,gkat,height_raw_gvol,height_raw_gastw,computed_height,height_source
,1020.0,4.927884615384615,7.5,4.927884615384615,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,3.823529411764706,7.5,3.823529411764706,volume_math
,,,,6.0,absolute_fallback
,1020.0,,7.5,7.5,floors_math
,,,,6.0,absolute_fallback
,1020.0,9.605911330049262,10.0,9.605911330049262,volume_math
,1060.0,,3.0,3.0,floors_math
,1020.0,8.136363636363637,5.0,8.136363636363637,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1060.0,3.1818181818181817,3.0,3.1818181818181817,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,,7.5,7.5,floors_math
,,,,6.0,absolute_fallback
,1020.0,,7.5,7.5,floors_math
,1080.0,,2.5,0.0,ignore
,1020.0,9.298387096774194,10.0,9.298387096774194,volume_math
,1020.0,9.379032258064516,10.0,9.379032258064516,volume_math
,1020.0,12.347926267281107,12.5,12.347926267281107,volume_math
,1020.0,12.596371882086167,12.5,12.596371882086167,volume_math
,1080.0,,,0.0,ignore
,1060.0,,3.0,3.0,floors_math
,1060.0,,3.0,3.0,floors_math
,1060.0,,6.0,6.0,floors_math
,1020.0,9.375,7.5,9.375,volume_math
,,,,6.0,absolute_fallback
,1020.0,11.143617021276595,7.5,11.143617021276595,volume_math
,1020.0,11.83774834437086,10.0,11.83774834437086,volume_math
,1020.0,11.83774834437086,10.0,11.83774834437086,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,,12.5,12.5,floors_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1060.0,,3.0,3.0,floors_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,12.462311557788945,7.5,12.462311557788945,volume_math
,1020.0,,7.5,7.5,floors_math
,1020.0,,7.5,7.5,floors_math
,1020.0,,7.5,7.5,floors_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,10.09594882729211,7.5,10.09594882729211,volume_math
,1020.0,11.925,7.5,11.925,volume_math
,,,,6.0,absolute_fallback
,1020.0,5.938144329896907,7.5,5.938144329896907,volume_math
,1020.0,19.838709677419356,7.5,7.5,floors_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1060.0,17.154017857142858,21.0,17.154017857142858,volume_math
,,,,6.0,absolute_fallback
,1020.0,10.191964285714286,7.5,10.191964285714286,volume_math
,1020.0,11.303827751196172,7.5,11.303827751196172,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,12.32258064516129,10.0,12.32258064516129,volume_math
,,,,6.0,absolute_fallback
,1020.0,17.147058823529413,10.0,17.147058823529413,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1060.0,25.110178384050368,18.0,25.110178384050368,volume_math
,1060.0,29.112523540489644,18.0,29.112523540489644,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,17.821428571428573,10.0,17.821428571428573,volume_math
,1020.0,8.450602409638554,7.5,8.450602409638554,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,,10.0,10.0,floors_math
,,,,6.0,absolute_fallback
,1020.0,9.852941176470589,7.5,9.852941176470589,volume_math
,1020.0,9.852941176470589,7.5,9.852941176470589,volume_math
,1020.0,1.9059405940594059,7.5,7.5,floors_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1030.0,9.70125786163522,10.0,9.70125786163522,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,1020.0,12.564802182810368,12.5,12.564802182810368,volume_math
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
,,,,6.0,absolute_fallback
